time,end,type,sc_id,source,orbit,description
2020-06-17/05:02:53,2020-06-17/05:05:13,burst_segment,mms,Burst,1119,BBF with possible DF?
2020-06-17/04:14:13,2020-06-17/04:16:33,burst_segment,mms,Burst,1119,BBF
2020-06-17/04:11:53,2020-06-17/04:14:13,burst_segment,mms,Burst,1119,BBF
2020-06-17/04:09:23,2020-06-17/04:11:53,burst_segment,mms,Burst,1119,BBF
2020-06-17/04:07:03,2020-06-17/04:09:23,burst_segment,mms,Burst,1119,BBF
2020-06-17/04:04:43,2020-06-17/04:07:03,burst_segment,mms,Burst,1119,BBF
2020-06-17/04:02:23,2020-06-17/04:04:43,burst_segment,mms,Burst,1119,BBF
2020-06-17/04:00:03,2020-06-17/04:02:23,burst_segment,mms,Burst,1119,BBF
2020-06-17/03:57:33,2020-06-17/04:00:03,burst_segment,mms,Burst,1119,BBF
2020-06-17/03:55:13,2020-06-17/03:57:33,burst_segment,mms,Burst,1119,BBF
2020-06-17/03:52:53,2020-06-17/03:55:13,burst_segment,mms,Burst,1119,BBF
2020-06-17/03:50:33,2020-06-17/03:52:53,burst_segment,mms,Burst,1119,BBF
2020-06-17/03:48:13,2020-06-17/03:50:33,burst_segment,mms,Burst,1119,BBF
2020-06-17/03:45:43,2020-06-17/03:48:13,burst_segment,mms,Burst,1119,BBF
2020-06-17/03:43:23,2020-06-17/03:45:43,burst_segment,mms,Burst,1119,BBF
2020-06-17/03:42:03,2020-06-17/03:50:23,burst_segment,mms,Burst,1119,null
2020-06-17/03:41:03,2020-06-17/03:43:23,burst_segment,mms,Burst,1119,BBF
2020-06-17/03:31:23,2020-06-17/03:39:13,burst_segment,mms,Burst,1119,null
2020-06-17/03:23:33,2020-06-17/03:31:23,burst_segment,mms,Burst,1119,null
2020-06-17/03:10:53,2020-06-17/03:13:03,burst_segment,mms,Burst,1119,BBF
2020-06-17/03:08:43,2020-06-17/03:10:53,burst_segment,mms,Burst,1119,BBF
2020-06-17/03:06:53,2020-06-17/03:11:03,burst_segment,mms,Burst,1119,null
2020-06-17/03:06:33,2020-06-17/03:08:43,burst_segment,mms,Burst,1119,BBF
2020-06-17/03:00:23,2020-06-17/03:01:53,burst_segment,mms,Burst,1119,DF
2020-06-17/02:59:03,2020-06-17/03:00:23,burst_segment,mms,Burst,1119,DF
2020-06-17/02:57:43,2020-06-17/02:59:03,burst_segment,mms,Burst,1119,BBF following DF
2020-06-17/02:56:23,2020-06-17/02:57:43,burst_segment,mms,Burst,1119,BBF following DF
2020-06-17/02:54:13,2020-06-17/02:56:23,burst_segment,mms,Burst,1119,DF with BBF
2020-06-17/02:52:43,2020-06-17/02:56:03,burst_segment,mms,Burst,1119,null
2020-06-17/02:52:03,2020-06-17/02:54:13,burst_segment,mms,Burst,1119,DF with BBF
2020-06-17/02:40:53,2020-06-17/02:43:13,burst_segment,mms,Burst,1119,PSBL encounter
2020-06-17/02:38:23,2020-06-17/02:40:53,burst_segment,mms,Burst,1119,PSBL encounter
2020-06-17/02:36:03,2020-06-17/02:38:23,burst_segment,mms,Burst,1119,PSBL encounter
2020-06-17/02:33:43,2020-06-17/02:36:03,burst_segment,mms,Burst,1119,PSBL encounter
2020-06-17/02:31:23,2020-06-17/02:33:43,burst_segment,mms,Burst,1119,PSBL encounter
2020-06-17/02:28:53,2020-06-17/02:31:23,burst_segment,mms,Burst,1119,PSBL encounter
2020-06-17/02:26:33,2020-06-17/02:28:53,burst_segment,mms,Burst,1119,PSBL encounter
2020-06-17/02:24:13,2020-06-17/02:26:33,burst_segment,mms,Burst,1119,PSBL encounter
2020-06-17/02:21:43,2020-06-17/02:24:13,burst_segment,mms,Burst,1119,PSBL encounter
2020-06-17/02:19:23,2020-06-17/02:21:43,burst_segment,mms,Burst,1119,PSBL encounter
2020-06-17/02:17:03,2020-06-17/02:19:23,burst_segment,mms,Burst,1119,PSBL encounter
2020-06-17/02:14:43,2020-06-17/02:17:03,burst_segment,mms,Burst,1119,PSBL encounter
2020-06-17/02:12:13,2020-06-17/02:14:43,burst_segment,mms,Burst,1119,PSBL encounter
2020-06-17/02:09:53,2020-06-17/02:12:13,burst_segment,mms,Burst,1119,PSBL encounter
