time,end,type,sc_id,source,orbit,description
2020-06-18/06:41:13,2020-06-18/06:43:33,burst_segment,mms,Burst,1119,"Rapid, moderate B fluctuations and ion heating after full B rotation; Turbulent CS?"
2020-06-18/06:38:43,2020-06-18/06:41:13,burst_segment,mms,Burst,1119,"Rapid, moderate B fluctuations and ion heating after full B rotation; Turbulent CS?"
2020-06-18/06:36:23,2020-06-18/06:38:43,burst_segment,mms,Burst,1119,"Rapid, moderate B fluctuations and ion heating after full B rotation; Turbulent CS?"
2020-06-18/06:33:53,2020-06-18/06:36:23,burst_segment,mms,Burst,1119,"Rapid, moderate B fluctuations and ion heating after full B rotation; Turbulent CS?"
2020-06-18/06:31:23,2020-06-18/06:33:53,burst_segment,mms,Burst,1119,"Rapid, moderate B fluctuations and ion heating after full B rotation; Turbulent CS?"
2020-06-18/06:29:03,2020-06-18/06:31:23,burst_segment,mms,Burst,1119,"Rapid, moderate B fluctuations and ion heating after full B rotation; Turbulent CS?"
2020-06-18/06:26:33,2020-06-18/06:29:03,burst_segment,mms,Burst,1119,"Rapid, moderate B fluctuations and ion heating after full B rotation; Turbulent CS?"
2020-06-18/06:24:03,2020-06-18/06:26:33,burst_segment,mms,Burst,1119,"Rapid, moderate B fluctuations and ion heating after full B rotation; Turbulent CS?"
2020-06-18/06:23:13,2020-06-18/06:25:23,burst_segment,mms,Burst,1119,MS current sheet
2020-06-18/06:21:43,2020-06-18/06:24:03,burst_segment,mms,Burst,1119,"Rapid, moderate B fluctuations and ion heating after full B rotation; Turbulent CS?"
2020-06-18/06:21:03,2020-06-18/06:23:13,burst_segment,mms,Burst,1119,MS current sheet
2020-06-18/06:19:13,2020-06-18/06:21:43,burst_segment,mms,Burst,1119,"Rapid, moderate B fluctuations and ion heating after full B rotation; Turbulent CS?"
2020-06-18/06:18:53,2020-06-18/06:21:03,burst_segment,mms,Burst,1119,MS current sheet
2020-06-18/05:56:43,2020-06-18/05:59:03,burst_segment,mms,Burst,1119,Steady B rotation with density increase
2020-06-18/05:54:23,2020-06-18/05:56:43,burst_segment,mms,Burst,1119,Steady B rotation with density increase
2020-06-18/05:52:03,2020-06-18/05:54:23,burst_segment,mms,Burst,1119,Steady B rotation with density increase
2020-06-18/05:49:43,2020-06-18/05:52:03,burst_segment,mms,Burst,1119,Steady B rotation with density increase
2020-06-18/04:28:23,2020-06-18/04:30:23,burst_segment,mms,Burst,1119,Rapid B rotation with |B| spike and densisty drop
2020-06-18/03:54:13,2020-06-18/03:55:33,burst_segment,mms,Burst,1119,Bz reversal with current spike; Flux rope?
2020-06-18/03:51:33,2020-06-18/03:52:43,burst_segment,mms,Burst,1119,Bz reversal with current spikes; Flux rope?
2020-06-18/03:47:33,2020-06-18/03:50:03,burst_segment,mms,Burst,1119,Partial MP crossing
2020-06-18/03:39:13,2020-06-18/03:41:33,burst_segment,mms,Burst,1119,Short MP crossing and back
2020-06-18/03:37:03,2020-06-18/03:39:13,burst_segment,mms,Burst,1119,Short MP crossing and back
2020-06-18/03:33:23,2020-06-18/03:34:43,burst_segment,mms,Burst,1119,Partial MP crossing
2020-06-18/03:32:03,2020-06-18/03:33:23,burst_segment,mms,Burst,1119,Partial MP crossing
2020-06-18/03:30:13,2020-06-18/03:32:03,burst_segment,mms,Burst,1119,MP crossing
2020-06-18/03:28:33,2020-06-18/03:30:13,burst_segment,mms,Burst,1119,MP crossing
2020-06-18/03:15:23,2020-06-18/03:17:33,burst_segment,mms,Burst,1119,Long MP crossing
2020-06-18/03:13:13,2020-06-18/03:15:23,burst_segment,mms,Burst,1119,Long MP crossing
2020-06-18/03:11:13,2020-06-18/03:13:13,burst_segment,mms,Burst,1119,Long MP crossing
2020-06-18/03:09:03,2020-06-18/03:11:13,burst_segment,mms,Burst,1119,Long MP crossing
2020-06-18/03:06:53,2020-06-18/03:09:03,burst_segment,mms,Burst,1119,Long MP crossing
2020-06-18/03:02:23,2020-06-18/03:04:33,burst_segment,mms,Burst,1119,Partial MP crossing
2020-06-18/03:00:03,2020-06-18/03:02:23,burst_segment,mms,Burst,1119,Partial MP crossing
2020-06-18/02:57:53,2020-06-18/03:00:03,burst_segment,mms,Burst,1119,Partial MP crossing
2020-06-18/02:55:43,2020-06-18/02:57:53,burst_segment,mms,Burst,1119,Partial MP crossing
2020-06-18/02:53:43,2020-06-18/02:55:43,burst_segment,mms,Burst,1119,MP crossing
2020-06-18/02:51:53,2020-06-18/02:53:43,burst_segment,mms,Burst,1119,MP crossing
2020-06-18/02:49:53,2020-06-18/02:51:53,burst_segment,mms,Burst,1119,MP crossing
2020-06-18/02:47:43,2020-06-18/02:49:53,burst_segment,mms,Burst,1119,Boundary layer before complete MP crossing
2020-06-18/02:45:43,2020-06-18/02:47:43,burst_segment,mms,Burst,1119,Boundary layer before complete MP crossing
2020-06-18/02:43:33,2020-06-18/02:45:43,burst_segment,mms,Burst,1119,Boundary layer before complete MP crossing
2020-06-18/02:34:13,2020-06-18/02:36:43,burst_segment,mms,Burst,1119,MP crossing?
2020-06-18/02:31:53,2020-06-18/02:34:13,burst_segment,mms,Burst,1119,MP crossing?
2020-06-18/02:29:43,2020-06-18/02:31:53,burst_segment,mms,Burst,1119,Boundary crossing with deep B minimum
2020-06-18/02:27:33,2020-06-18/02:29:43,burst_segment,mms,Burst,1119,Boundary crossing with deep B minimum
