times,n,Tpara,Tperp
1592425934.5093389,0.9583318,748.1061,638.0151
1592429382.308512,4.426397,112.70829,76.0837
1592430714.177474,1.3153099,424.70908,372.00116
1592430827.879081,1.5547452,176.02325,195.0332
1592429042.10367,0.9617746,434.85657,410.2981
1592430871.3797069,3.912062,114.98511,88.969635
1592431991.895633,2.9268136,98.144394,93.85728
1592428671.8983831,1.0431744,341.58502,382.14352
1592426800.771701,0.8362109,489.46378,444.98206
1592427819.886236,1.0703323,530.86017,436.23068
1592430105.768807,1.5473015,190.82729,186.97665
1592429851.515191,2.071008,156.43335,113.714676
1592428428.744919,0.68302214,822.6878,713.34265
1592430387.0228071,1.910833,221.40358,194.44257
1592430208.820273,3.1340005,127.42185,121.13158
1592434272.828023,0.9722023,407.59598,280.53482
1592430542.425026,1.7144415,249.45674,235.48586
1592426703.1203158,1.2392178,415.43283,419.1359
1592430361.8224509,2.5018303,210.64542,157.61897
1592429540.8607628,2.1112108,175.31087,179.18861
1592432258.599426,5.0491004,131.29385,80.44794
1592431826.4432871,1.3055716,344.9395,292.204
1592428861.0510762,0.8877296,527.6506,517.25256
1592428185.4414551,0.7973473,854.9492,727.1985
1592426380.9157062,1.3376111,391.88858,364.76035
1592429629.8120298,0.94199187,404.8763,509.7854
1592430862.37958,2.1293068,144.43573,159.99565
1592432779.406829,4.5964684,149.39766,84.15446
1592428808.400335,0.800261,577.62836,613.6524
1592434399.579825,1.2858589,247.22491,233.67673
1592432859.357965,1.0783651,289.64944,241.50926
1592426378.515677,1.3431948,396.09467,385.79727
1592433273.213844,0.836681,523.3394,701.87274
1592426987.374369,0.8853779,499.88907,481.0356
1592433974.4737952,4.4912806,111.25731,83.50968
1592430478.524116,1.445225,214.3721,247.32597
1592433340.114795,1.1244513,416.82404,375.95297
1592433809.1714518,1.274345,465.81787,427.49658
1592434441.43042,6.5940814,72.27383,70.458824
1592428676.848453,1.0634131,368.49554,367.08768
1592432747.00636,3.8446236,73.01734,77.57242
1592434494.081172,4.5452566,114.93335,72.51053
1592431819.693187,1.4500988,316.75992,302.75418
